MIB PROJECT SNMP
0.1,SysDecr,Description d'un agent
0.2,SysName,Agent3,mdpR
0.3,SysUptime,3000
1.1.1,Manager1Name,Alain
1.1.2,Manager1MDP,mdp02
1.1.3,Manager1Addr,172.168.0.2
1.1.4,Manager1Abo,SysName/SysUptime
1.1.5,Manager1Access,W
1.2.1,Manager2Name,Theo
1.2.1,Manager2MDP,mdp03
1.2.1,Manager2Addr,172.168.0.0.3
1.2.1,Manager2Abo,Interface1Etat
1.2.1,Manager2Acces,RW
2.1.1,Interface1Desc,Interface1
2.1.2,Interface1Etat,Down
2.1.3,Interface1Type,Eth
2.1.4,Interface1MTU,400
2.1.5,Interface1Addr,196.168.20.2
2.1.6,Interface1Error,0
2.2.1,Interface2Desc,Interface2
2.2.2,Interface2Etat,Up
2.2.3,Interface2Type,Eth
2.2.4,Interface2MTU,150
2.2.5,Interface2Addr,196.168.21.2
2.2.6,Interface2Error,3
