MIB PROJECT SNMP
SysDecr,Description d'un agent
SysName,Agent1
SysUptime,100000
Manager1Name,Tom
Manager1MDP,mdp01
Manager1Addr,172.168.0.1
Manager1Abo,SysName/SysUptime
Manager1Access,W
Manager2Name,Alain
Manager2MDP,mdp02
Manager2Addr,172.168.0.0.2
Manager2Abo,Interface1Etat
Manager2Acces,RW
Interface1Desc,Interface1
Interface1Etat,Up
Interface1Type,Eth
Interface1MTU,1500
Interface1Addr,196.168.0.2
Interface1Error,0
Interface2Desc,Interface2
Interface2Etat,Down
Interface2Type,Eth
Interface2MTU,1500
Interface2Addr,196.168.1.2
Interface2Error,1
